Track ID,Artist,Track name,Playlist
42bbDWZ8WmXTH7PkYAlGLu,George Ezra,Hold My Girl,DOMINANT
3osydJRsRqgVFKYTC04QfT,Jux,Enjoy,DOMINANT
6RdkggWArMBHrxBmKTvsaj,Zuchu,Kwikwi,DOMINANT
1guLggb4orDoc7Dmh2cSuL,Hannah Mae,Waterdicht,DOMINANT
4nHJcUtNSUVjXRnjdP29Bk,Noah Kahan,You’re Gonna Go Far,DOMINANT
1izC6AsOwb84CYQ7OA3ko7,Dermot Kennedy,Lucky,DOMINANT
3v2dHPoXhfVVZ6HQBfjQOh,Son Mieux,Tonight,DOMINANT
3k9LdosLHcyy4kE5J6pV2p,MEAU,Stukje Van Mij,DOMINANT
0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,DOMINANT
17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,DOMINANT
3dj4wgM3cPeuLwMNHDuBon,Teddy Swims,The Door,DOMINANT
0Z7nGFVCLfixWctgePsRk9,Beyoncé,TEXAS HOLD 'EM,DOMINANT
0N3W5peJUQtI4eyR6GJT5O,Kendrick Lamar,King Kunta,DOMINANT
27vRHaujhhkA73O2VkdfFL,De Jeugd Van Tegenwoordig,Gekke Boys,DOMINANT
59WN2psjkt1tyaxjspN8fp,Rage Against The Machine,Killing In The Name,DOMINANT
111SaDBbcHW0zedi4RBHDp,Arctic Monkeys,You Probably Couldn't See For The Lights But You Were Staring Straight At Me,DOMINANT
5aZCwTIsfqv22p5bewcrgf,Daft Punk,Derezzed,DOMINANT
25ypHCQpDX2nrDFly7eZLZ,Childish Gambino,Bonfire,DOMINANT
7ivwheJvCzR7RU9vSxi9Dy,Sam Greenfield,Fuck Yea,DOMINANT
7f9I5WdyXm5q1XqnSYgQZb,Arctic Monkeys,Brianstorm,DOMINANT
2DrGEaqoruCSn0FffWCf5O,Vampire Weekend,A-Punk,DOMINANT
3DQVgcqaP3iSMbaKsd57l5,Arctic Monkeys,I Bet You Look Good On The Dancefloor,DOMINANT
0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,DOMINANT
4L6ACBbVYwv3tQZYE0UBdz,Miss Montreal,Noem Een Dag,DOMINANT
1nInOsHbtotAmEOQhtvnzP,Kelly Clarkson,Stronger (What Doesn't Kill You),DOMINANT
3oOWBUNbwHZkWF2WND4kK2,Beyoncé,Run the World (Girls),DOMINANT
72vp1y2QLIPeAmIJWaNqZY,Anne-Marie,Trigger,DOMINANT
3UjJP4ludb74a29P5EHEIo,Sabrina Carpenter,Thumbs,DOMINANT
38PGsLp1eX81rB5aNXuCQ5,Rob Dekay,Weg Van Jou,DOMINANT
2ekn2ttSfGqwhhate0LSR0,Dua Lipa,New Rules,DOMINANT
5k5fWendNngd89O8JKoE8L,Meghan Trainor,Better When I'm Dancin',DOMINANT
1YwPNemawMgGe6sF4U0FTE,Elvis Crespo,Suavemente,DOMINANT
2HPB3px8MJZRMfu1L65Z41,ABBA,Does Your Mother Know,DOMINANT
2goLsvvODILDzeeiT4dAoR,Cher,Believe,DOMINANT
2VZ5Vtjn16RThAvaFz3sJZ,Kylie Minogue,Get Outta My Way,DOMINANT
3pS5eiuBPsQn5ID6RElg9G,Kylie Minogue,Hand on Your Heart,DOMINANT
2tUBqZG2AbRi7Q0BIrVrEj,Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),DOMINANT
4J1id7JSxlypixRJlTiFw0,Tove Lo,No One Dies From Love (Extended),DOMINANT
0jLeyuu6mtsD384054xLah,La rappresentante di lista,Ciao Ciao,DOMINANT
0qxYx4F3vm1AOnfux6dDxP,Paul Simon,You Can Call Me Al,DOMINANT
3L9ClO1W5KmebIXTrlKShF,The Pointer Sisters,Jump (For My Love),DOMINANT
1KMkcUvF7m3SDChDOa7i5L,The Kid LAROI,WITHOUT YOU,DOMINANT
08wsm7epFKstVWWaE2n9XG,Color The Night,Take Me Home Boy,DOMINANT
0RLH6tOOpnxqSgLu2PbEoY,Quinn XCII,"Hey, Goodbye",DOMINANT
5pomCBdsTZSDCFHH8BAUQe,Demi Lovato,This Is Me,DOMINANT
1z6WtY7X4HQJvzxC4UgkSf,Beyoncé,Love On Top,DOMINANT
40kKQBKcnUVE0rPCzNOy8P,Breakbot,Baby I'm Yours (feat. Irfane),DOMINANT
0cVyQfDyRnMJ0V3rjjdlU3,Paul Russell,Lil Boo Thang,DOMINANT
5fKBwqSTuCbnJlCOpeRa3o,NEIKED,Sexual,DOMINANT
3AzjcOeAmA57TIOr9zF1ZW,Dua Lipa,Physical,DOMINANT
6e8Ou0wiqAzIpWb2eSxll8,Will Smith,Miami,DOMINANT
0GnU2sNVI6uP1tlmkVfiEt,Slash,World On Fire,DOMINANT
4KcpQ5bJZnkIS5OHKGl7Lp,Beast In Black,Blind and Frozen,DOMINANT
0GMymbP7AQkxEt5nq20BfZ,Doom Unit,Killing Time,DOMINANT
2LXQ6hH9OrEn11xz28xz82,Lansdowne,Watch Me Burn,DOMINANT
4GSjFSK1SM78wPTVbsSB0S,Within Temptation,The Reckoning,DOMINANT
6ZaeEREIyyHSwiC9icMLta,Muse,Plug in Baby,DOMINANT
6MD6xpFK4cfquxRqXxqwjq,Bring Me The Horizon,Obey (with YUNGBLUD),DOMINANT
4pt5fDVTg5GhEvEtlz9dKk,Måneskin,I WANNA BE YOUR SLAVE,DOMINANT
1iQDltZqI7BXnHrFy4Qo1k,SHAED,Trampoline (with ZAYN),DOMINANT
5I1qo8eE4UmF0O2CcptoZh,Amaranthe,Countdown,DOMINANT
1nU2ooQKyk4CsYJMBdIK4J,YUNGBLUD,The Funeral,DOMINANT
